#get size and Ku at 350K
#*1 size	*2 Ku when T=350k		*3 Energy	 		*4 number of atoms  	5 Ku at 0k	*6 KuV/KBT	*7 ku at T=730k
2	3.87084e06	2.38828e-21	523	6.22054e6	0.493121801284	155757
4	3.67548e06	1.94192e-20	4242	6.22054e6	3.79779940737	258558	
6	3.98443e06	6.94003e-20	14742	6.22054e6	14.3077025417	4252.15
8	4.01621e06	1.63573e-19	34552	6.22054e6	33.8015720126	304329
10	4.04384e06	3.13572e-19	65450	6.22054e6	64.4689963235	70593.8
12	4.06213e06	3.85537e-19	80220	6.22054e6	79.3750057828	82314.8
14	4.04922e06	4.47214e-19	93639	6.22054e6	92.3581945643	221210
16	4.06876e06	5.1175e-19	106792	6.22054e6	105.839575097	71193.3
#when temerature at 0k ,the value of ku is indepent with the size of nanoparticle
